Name	Type	Level	Cost	ContinuedCost	CastTime	Range	Discription
Meat Sack	BA	0	1 piece of meat	NA	NA	NA	Upon acquiring this ability adds a sack of raw meat to your inventory. It’s extremely cumbersome and heavy to carry but eating from it restores all actions and stamina. Any adjacent person may consume from the sack, using this ability, if the owner allows. The meat sack receives its own space, adjacent to the player.  If a critical fail is rolled while using this ability, all the meat in the sack goes rancid. Movement is reduced by half when moving with the meat sack. The sack never runs out of meat unless it goes rancid. The sack of meat is extremely vulnerable to fire.
Taunt	BA	0	NA	NA	NA	NA	The player must come up with a taunt in an attempt to lour a target. If the taunt that is created amuses the GM or causes another player to snicker, laugh, chuckle, or exhale slightly more then normal from their nose, this is successful. If successful, the target is forced to attack the taunter, expending all their possible actions, each automatically failing or dealing half damage.  And unusable actions are also depleted. This may be used as an interrupt to the target’s action.
Destined For Greatness	BA	0	NA	NA	NA	NA	Having this ability grants an opportunity, not a guarantee. Any time the player rolls a natural 20, they may roll again. If a critical success is rolled the player may choose to receive a legendary item or legendary spell scroll, or a grimoire of up to 10 random spells. Gaining these items are not immediate if successful, but as soon as what makes sense to receive or fund such powerful items.
Lucky Coin	BA	0	NA	NA	NA	NA	Once per combat, you may force a reroll on any roll regardless of who rolled it but instead flip a coin. If it lands on heads it is equal to a natural 20, tails natural 1. If the coin lands on an edge the player how invoked this ability may choose. 
Unlikely aid	BA	0	NA	NA	NA	NA	You have done a favor for someone incredibly powerful in the past. You must choose who when you acquire this ability. This can be anyone. You may call on them at any point using a talesman. They can choose to help you.
Proc	BA	0	NA	NA	NA	NA	When you kill a target with a melee item, you receive two bonus actions to use as you wish. This can roll.
Impromptu Market	BA	0	NA	NA	NA	NA	When you acquire this ability add 1000 gold to your inventory, along with a silver coin. Throwing away the silver coin will summon the item shop and/or Kyle to the party. 
Arcane Missile	A	1	2	NA	Instant	15m	The caster rolls a D20. divide the number by 2 (round up if .5) That many numbers of missiles are shot. The caster may choose what the missile targets. Each missile deals 1 damage.
Dissolve magic	A	1	3	NA	Instant	3m	The caster can cancel and dissolve instant, targeted spells up through the advanced spells with a high roll and legendary spells with a critical success.
Blink	A	1	1	NA	Instant	LOS	The caster teleports to any location. The target location must be in the line of sight. The target may teleport with at most, two other persons whom they are touching.
Disguise	A	1	2	NA	Instant	NA	The caster can make themselves appear however they wish. The player must “do a voice” for the disguise. If the player ever breaks the voice, even in out of character discussions, the disguise breaks. It also fails if a nat 1 is rolled by the player. The illusion is solid and can may be interacted with, if the caster does not tell a lie during the illusion. 
Drain Magic	A	1	1	NA	Instant	Touching	Drains 5 stamina of your target into a golden nugget or into the caster. 
Mana Blast	A	1	1	However much caster wishes	Instant	2m	Before rolling the caster must indicate the amount of stamina that they wish to commit to this spell as well as targets. This creates an AoE attack in a 2 space radius around the caster which is divided by the number of people targeted within the range. If an enemy is a target however much stamina is targeted at them is the amount of damage taken multiplied by 2. If an ally is targeted, they gain stamina in the amount targeted at them multiplied by 2.
Magic Sap	A	1	4	NA	Instant	Touching	The caster removes the spell from an item that was imbued with magic. The caster may cast the spell immediately after sapping it, otherwise, receive the amount of stamina that it took to imbue the target. (the caster must have the knowledge of the spell’s level in order to cast this spell)If the amount of stamina gained is higher then the caster’s max amount, they temporarily have a higher max, to house the stamina, but once used, their stamina returns to their normal amount.
Intoxicate	A	1	4	NA	Instant	Touching	Drugs are a hell of a thing. Casting this on an object makes whoever is touching it extremely intoxicated as long as they remain in contact with it. If cast on a person makes the person intoxicated for up to a year or more. Be careful on how this spell is cast, it’s known to backfire.
Mesmerize	A	1	5	NA	Instant	3m	All players non-divine and non-ageless within a 3 space radius are placed into a trance, making them go into a vegetative state until they take damage
Seek Destiny	A	1	5	NA	1 Turn	LOS	Entering a meditative state the caster pears through the void but sadly it oftentimes just stares back.If a 20 is rolled, the receive a glimpse into the near future The DM must give the caster the outline that they had planned for the rest of the session If an 18 is rolled, the caster receives a random legendary spell scroll. If a 1 is rolled, the caster goes insane and must roll a death roll
Meditative State	A	1	3	NA	2 Rounds	NA	The caster enters a meditative state, while in this state the caster may not take a turn, move, attack, or use any anytime or another spell. They may meditate as long as they wish, but a minimum of 2 rounds. For each turn that they pass, and they meditate, they gain another action that may be used as a movement, action, spell, or anytime to be used all at once when the meditative state ends. The actions that they use must be used in the same turn or else discarded. This spell is disrupted if the caster takes damage.
Sleep	A	1	1	NA	Instant	Touching	The caster may touch anyone and cast this spell forcing them to  sleep. The target sleeps for a single turn.  This does not work on the divine, or ageless. This spell does not require a roll to perform, Every third cast of this spell causes the caster to fall asleep instead. Once awoken the target does not remember whoever put them to sleep. 
Charm of speed	A	1	1	1 per target	Instant	LOS	The caster may target up to 10 targets. Every target is charmed to move quicker. Each player can move up to 3 times the number of spaces, or receive another action type (the decision is up to the caster) until the end of combat. May only be used once per session
Imbue Magic	A	1	3	NA	1 Round	Touching	This is a spell that allows that caster to cast another spell or be targeted by another willing caster to imbue an item the caster is holding with the other spell. There is some risk with this because depending on the other spell the item may react differently once infused with the spell. The exception is anything with writing where the caster says the written words while casting. If an object with writing is imbued with a spell, The item with writing on it is infused with the spell, which then is triggered by speaking the words on the object in the manner the infuser would say them. The other exception is “spell scrolls” which are made to be consumable.With more proficiency, grimoires can be made.
Disappear	A	1	3	NA	Instant	LOS	This is cast on a target. The target becomes frozen in space and time. While the target is stunned, the caster disappears in a cloud of smoke and becomes invisible, and undetectable by any magic. The caster remains invisible as long as the target remains stunned. The target is stunned until they receive damage, or is targeted by another spell.
Dispell Magic	A	1	2	NA	Instant	5m	Attempt to remove a magic effect on a target. This does not work on instant spells but rather long term magical effects.
Levitate	A	1	2	2 per round	Instant	LOS	Levitate up to 3 objects as you wish. move them up to 3 spaces per round. If you are attacked during this spell, all objects are dropped and must roll to take damage. Whatever is rolled divided by 2 is the damage taken.
Random Cast	A	2	3	NA	Instant	LOS	The player casts a spell at random of a chosen type. 
Preparation	A	2	2	NA	Instant	LOS	Cast this spell. The next Critical Fail or Critical Success that is rolled, all party members except the one who rolled gains an immediate no-roll bonus action that they may use however they wish.
Dreambolt	A	2	3	NA	Instant	10m	Blast a target with a shadowy blue mist of dreams that deals 3 damage. You or allies may sacrifice the attack, spell, or movement actions and add 2.5 (round down) damage per action sacrificed
Dream Assault	A	2	3	NA	Instant	7m	Enter the dream world of another person’s mind. If a critical success is rolled that being becomes your servant until the end of combat. Otherwise, allies may sacrifice actions to this spell. This deals 4 damage plus 2 damage per sacrificed action. This may not be performed on divine, or master mages. Number of sacrificed actions must be determined before a roll, and are still lost if a critical success is rolled.
Terrorize Mind	A	2	3	NA	Instant	5m	Terrorize a target dealing 5 damage. If a critical success, the target may not cast any spells for the next 3 rounds of combat.
Encore	A	2	1	NA	Instant	NA	Force yourself or an ally to recast a spell as a bonus action. Has a cooldown of 3 rounds of combat, at no cost to the targeted caster.
Flock of Ravens	A	2	2	NA	Instant	NA	Transform yourself into a small flock of 3-10 ravens. Each raven may only take a single attack before it dies. You may transform back at the end of anyone’s turn. As ravens, you may move up to 10 spaces, and ignore dangerous or rough terrain. If all ravens are killed you take double the damage as the number of ravens. You may cast this spell as a move action.
Arcaneic Sight	A	2	2	NA	Instant	NA	Casting this spell allows you to cast spells through your eyes. For the next 3 rounds of combat, you have 2 additional spell actions per round. Performing this too often though may cause the caster to go blind.
Broom Staff	A	2	2	NA	Instant	LOS	Upon receiving this spell add a wooden broom to your inventory. The broom is stronger than steel and is extremely hard to break. The broom must be used as a primary weapon or the broom will lose loyalty. Using this spell allows the caster to command the broom to fly anywhere on the battlefield. At the end of the caster’s turn, they snap their fingers and are teleported to be on the broom. After doing so the broom lowers to the ground allowing the caster to step off. The broom also may be ridden doubling the caster’s movement range.
Witching Hour	A	2	3	NA	1 Turn	NA	Freeze time for all enemies for a single round of combat. All players gain a bonus action for this round. Players can strategize and converse on what they do. At the end of the round, all player’s actions occur all at once. This may be used once per combat.
Arcane Beam	A	2	10	NA	Instant	10 m	Shoot a beam of arcane energy that can travel through walls and most items. It deals 15 damage in a straight line divided among all targets. This does not destroy objects that it travels through.
Quick Cast	A	2	2	NA	Instant	LOS	Cause the target of this spell to cast one of their spells, without using an action. If the caster can name a spell that the target knows, they cast that one, otherwise a random spell from their inventory is selected.
Puppetry	A	2	5	NA	Instant	LOS	Who doesn’t like pulling the strings? This spell allows the caster to move all allies, if they allow them to, move them up to 5 spaces, without using the targets movement action. Any unwilling targets can be moved two spaces. May only used once per combat. Must have a line of sight for both target, and moment location. (LOS may never be broken)
Swapping Memory	A	2	10	NA	Instant	Touching	Touching the head of another being, and casting this spell causes the target’s mind to be swapped with yours. You have access to their spells instead of yours, except you also have access to this spell regardless of the number of spell slots filled in the target. If the caster’s original body is killed the caster dies along with it. If the body of the target dies, the target dies. Upon the death of one party, the minds are returned to their original body.
Illusionary Copy	A	2	5	NA	Instant	LOS	Summon up to 5 copies of yourself anywhere on the battlefield, facing whatever direction you wish. All copy your movements exactly. They may not cast spells or speak, but copy your actions. Or summon up to 2 copies who can move independently, cast spells and speak, drawing from your stamina. They may not be destroyed as they are only illusions. One per turn, you may swap places with any of your illusions. They last until the end of combat or dispelled.
Selective Magic	A	3	1	cost of selected spell	1 turn of being in a meditative state	NA	The caster may cast any spell they wish. The player chooses a school of magic, out of which the dm reads the titles of all spells. The player must choose a spell out of the list from titles only. The caster must take the cost of both this and the selected spell. If this spell is successful, so is the other spell.  
Reveal Knowledge	A	3	1	NA	Instant	NA	This is a spell that can only be cast once in the caster’s lifetime. The caster may ask any question, and the answer will magically reveal itself. Be careful though, Everything comes with a cost.
Erase	A	3	15	NA	8 Rounds	Touching	The void holds the ability to form and destroy life. Touching a target and casting this spell erases any trace of their existence. The only remaining thing of them is memories that people may or may not have of them. Depending on the target's impact on the world, the outcome may differ.
Greater Illusionary Copy	A	3	8	NA	Instant	LOS	Summon up to 5 copies of yourself anywhere on the battlefield, facing whatever direction you wish. All can move independently, and can carry out the caster’s will. They may not be destroyed or dispelled other than by the caster as they are only illusions. Once per turn, you may swap places with any of your illusions. They last until the end of combat or dispelled. When copies cast spells they can choose for the spells to be illusions or real. If real, stamina is shared among all copies, which is separate but matches the caster’s.
Wormhole	A	3	7	NA	Instant	15m	Create a tiny hole to the void Even though it's the size of a pea, it's powerful enough to suck all beings on the battlefield into the same space. Allies may make a bonus action to grab onto something to prevent being sucked in. All beings sucked toward the void take 10 damage. The closest being must immediately death roll. Upon casting this spell the void speaks to you. Receive 2 random spell scrolls.
Life Steal 	D	1	1	NA	Instant	5m	You take 3 stamina from your target and add it to yourself.
Shadow Step	D	1	2	NA	Instant	LOS	Step into one shadow and reappear in another. Must have LOS to your target. Before casting the caster may also note if they will return, and when. If doing this they return to the original location after the noted amount of time, without casting another spell, and without another cost. If noted, a return time, it will happen regardless if the caster changes their mind.
Disguise	D	1	2	NA	Instant	NA	The caster can make themselves appear however they wish. The player must “do a voice” for the disguise. If the player ever breaks the voice, even in out of character discussions, the disguise breaks. It also fails if a nat 1 is rolled by the player. The illusion is solid and can may be interacted with, if the caster does not tell a lie during the illusion.
Drain Magic	D	1	1	NA	Instant	Touching	Drain 5 stamina of your target into a golden nugget or add the stamina to yourself.
Shank	D	1	3	NA	Instant	Touching	The caster shanks the target with a shard of darkness. The shank deals 3 damage. Through the shard magic flows, filling the shard. The dark shard becomes a consumable spell. The caster receives a random spell that they may cast once. The caster is never told the spell that they now have the ability to cast.
Mental Assault	D	1	2	2 per round	Instant	Touching	The caster removes their consciousness from their body which falls on the ground unconscious. They may enter the mind of a target that they are touching. (this may occur on any roll higher than critical fail.) If successful (+5) full possession of the target may occur giving the caster access to both their own and the target’s spells, as well as full control over the target’s actions. If the spell fails (-4) the minds meld together and both the caster and the target receive each other’s memories. And the target also becomes unconscious. The caster and target must enter a dice battle. 2 out of 3 wins. The winner keeps their memories and sanity. The loose now holds both caster’s and target’s memories and is now insane.
Cursed Death	D	1	3	NA	Instant	Touching	This is a no-roll spell. You cast on two targets. After casting the two target’s lives are linked. If one dies, the other must death roll a step above where they currently are. This does not add a step to normal death rolls This may only be cast once per session. The link may be broken by casting this spell on the two targets again, or though casting  Mending Light on one of the targets. If cast by powerful dark mages, more then the target’s lives may become linked.
Remove Light	D	1	1	1 per round	Instant	1m	This allows the caster to remove light, casting an invisible fog that removes light from the areas cast, making them be viewed as completely black. The caster may decide up to 10 adjacent spaces that the fog rolls into. Beings may not see in, out, or through the fog. The caster is whispered locations of beings and objects in the fog from the darkness.
Shadow Companion	D	1	5	1 stamina per re-summoning from death.	Instant	Touching	The caster summons forth a companion. The type of companion must be determined during character creation or upon receiving the spell. The companion may cast any spell that the caster holds (using the caster’s stamina as cost) and must follow the direction of the caster. The caster may also receive sensory input from the companion if wanted. The companion may be dispelled or will dissipate (die) if the caster ever death rolls. The companion may not interact with the world in a tangible way. If it does, the companion receives 10 stamina and requires two permanent stamina to resummon.
Shadow rain	D	1	3	NA	1 Turn	Battlefeild	Black rain starts to fall over the entire battlefield. Anything that the rain touches starts to smoke. If a being is touched by the rain, they must roll. Whatever they roll is the amount of damage they receive. This may only be done once every 3 rounds of combat. Everyone on the battlefield receives a bonus action to attempt to cover themselves from the rain.
Dark Martyr	D	1	5	NA	Instant	NA	There is only one thing worse than losing a friend, and that’s losing your best friend. If someone fails a death roll, you may cast this spell as a bonus action and sacrifice someone else to die in their place. The sacrifice must have a similar affiliation to you. For example, if one party member fails a death roll, you may sacrifice another party member to die in their place.
Bloody Friend	D	1	10	3 dead bodies 2 permanent stamina	10 Rounds	5m	You can create a new friend from the remains of found corpses. Using magic to stitch body parts together you create a new companion that is mindless, holds no emotion, and can not feel pain. You may control this monster telepathically and can cast magic from it. The beast is extremely strong and resistant to magic. The companion must have one notable weakness upon summoning to tether it to the caster. The minion may not die unless the tether is severed. The being may be up to 3 spaces big, have a movement of 2 can not sprint. Any magic cast through the flesh golem pulls the cost from the original caster
Fortify Bones	D	1	3	NA	Instant	NA	No one drinks as much milk as they should. Casting this spell fortifies the bones of your allies, causing them to receive half damage for the next  3 rounds of combat. This may be cast only once per combat.
Corruption	D	1	2	NA	Instant	3m	The caster may attempt to corrupt the mind of a target. If a 20 is rolled they become a permanent companion of the caster. If 5+ is rolled it is successful and may control the being for a single turn, force them to attack allies, cast spells, or move. If a 1 is cast the spell backfires and the target may control the caster for a single turn. Otherwise, the spell fails If the spell fails 3 times in a row, the caster becomes vulnerable in light and may not cast any spells while in the presence of bright light.
Dispell Magic 	D	1	2	NA	Instant	5m	Attempt to remove a magic effect on a target. This does not work on instant spells but rather for long term magical effects
Command Death	D	2	2	1 per round	Instant	5m	The caster holds the ability to control a reanimated dead object fully or an inanimate object partially. Reanimated bodies have a movement of 3, and a basic attack of 3 damage. Inanimate objects, if light (can be lifted by one hand) may be moved telepathically up to 3 spaces, otherwise they may be moved one space.
Eliminate death	D	2	3	NA	10 Rounds	10m	The casting of a ritual. This eliminates the ability of the target to naturally die.  It requires a ditch to be dug around the target which is then filled with the target’s blood after the spell is cast. Must be a willing target. As a warning though: sometimes the lack of death is worse than death.
Raven’s Claw	D	2	3	NA	1 Turn	NA	Conjure forth a giant raven that may target a being by name. The raven will not stop attempting to kill the target until it is dispelled, by a phrase spoken to it at the time of conjure by the caster. The raven will also dispel if it can not access the person at any time, or hit with a light spell.
Sear Mind	D	2	3	NA	Instant	5m	Sear the mind of a target causing 5 damage. If performed while the target is casting a spell, deal 10. The target have your name and face seared into their mind.
Bloody Mess	D	2	3	NA	Instant	2m	Quickly conjure a black magic whip and whip at a target inflicting the damage equal to the amount of stamina you are missing. If you miss, you lose 2 stamina and accidentally hit yourself causing a deep slash to appear.
Solar Eclipse	D	2	2	NA	Instant	Battlefeild	Temporarily darken the battlefield, eliminating all light sources. All Allies are able to see through the darkness and grant an extra bonus action to all party members.
Raise Dead	D	2	5	NA	1 Turn	15m	The caster reanimates an already dead body The soul of the person does not return to the body. The caster does not control the reanimated body
Cursed Death	D	2	3	NA	Instant	Touching	Create a rolling fog out of the caster. Immediately upon casting all adjacent spaces and spaces the caster is standing in becomes dangerous terrain, filled with fog. Any being in the fog can not see outside of the space they are in and adjacent spaces. If a being finishes their turn inside the fog they roll to become charmed, where they are confused and fight for the other side until cured. The fog is extremely explosive and can be dispelled by anyone with dark magic by speaking a phrase set by the caster within the fog. Casting dispels magic on the fog will dispel the target square and ideate adjacent fog spaces.
Malnourish	D	2	3	NA	Instant	Battlefield	Emit a thin fog across the entire battlefield. For the rest of the round low rolls by enemies cause 3 damage. This may be cast once per session.
Reclame Death	D	3	10	NA	Instant	20m	This spell is used by Death himself to create the first ageless. This is used to kill then raise the body to a state of the caster’s wish. The soul of the target is trapped within the body making the body still fully sentient but must obey the caster’s commands. The only way to release the soul of the target is by crushing the new body’s head.
Blanket of Death	D	3	10	NA	Instant	5m	Envelope the entire battlefield in a black fog. All beings on the battlefield must death roll. If they fail they become sentient beings in servitude to the caster. If the caster dies, so do all servants that were created using this spell. The target may choose to become ageless or undead.
Split Soul	D	3	5	NA	Instant	5m	Split the soul of a target into two different parts of their personality. At the end of the spell, two identical beings are present. The player may choose which they wish to continue to play as. The other will attempt to kill them.
Soul Bind	D	3	5	NA	Instant	10m	Transform a target into an inanimate object that resembles them, and their story thus far. They may still cast their spells but can only communicate with the being using the object.
Move Earth	E	1	2	NA	Instant	10m	The caster can move a 1x1x1 area of earth up to 3 spaces. On high rolls, the caster can move objects on the earth as well.
Rock Shield	E	1	2	NA	Instant	5m	The caster summons a rock shield around them. The shield has a stamina of 10
Firm Foundation	E	1	1	NA	Instant	10m	The caster may take up to 3 stamina from a target. The target becomes immobile as the ground swallows their feet. The target must take a turn to dig themselves out to become mobile again
Entrapment	E	1	2	NA	Instant	10m	The caster may target anyone, who can easily be restrained. The caster causes vines to quickly grow and entangle the target. The caster then can move the target up to 5 spaces per turn as long as they stay entrapped. The target may use fire to easily free themselves, or they need to find a way to kill the vines to free themselves
Poisonous Bite	E	1	2	NA	Instant	Touching	The caster poisons its target whom they are touching. Over the next several turns the target will take 10% damage until they roll a high roll
Blossom	E	1	2	NA	Instant	5m	The caster targets someone, who then grows to double their size until they low roll. The target deals double damage while they are enlarged.This may be cast only once per combat
Churning powder	E	1	1	NA	Instant	NA	The caster produces a brown powder that, once consumed, poisons the target forever, dealing 10% damage per turn, until the target rolls a critical success. The target immediately soils themselves and vomits upon consumption
Healing bouquet	E	1	5	NA	Instant	5m	The caster grows a dozen flowers, in an adjacent space When a flower is eaten full stamina is restored and any ill effects dissipate. If a flower is caught on fire, the flowers explode causing all in a 2 space radius to instantly death roll. Flowers must be eaten immediately after being picked, as their magical effects wither as quickly as they wilt
Eagle site	E	1	2	NA	Instant	NA	The caster summons an eagle that can fly above. The caster can look through the eagle’s eyes to view what is occurring around them. The eagle is immune to damage and magic, can view through walls and magic. Must have an open sky, or enough room for flight to summon the eagle
Earth Totem	E	1	5	NA	Instant	3m	Summon a small stone pillar that is carved in the caster’s image. All allies on the battlefield deal double damage, receive another anytime, and are immune to poisons as long as the totem remains intact. The totem has 5 damage points and is easily broken, though is resistant to magic.
Pestilence	E	1	3	NA	Instant	5m	Summon forth spores from the world that are extremely toxic. The caster may direct the spurs from their hand to any target in a 5 space radius. All spaces between the caster and the target become filled with the spurs, which may last up to 3 rounds, transforming them to dangerous terrain. Any being within the cloud of spurs at the end of their turn will death roll at the start of their next turn. The original target must roll to see if the breath in the spores if they fail, they take 5 damage, and are poisoned which deals 10% damage each round until they roll a high roll.
Petal Storm	E	1	5	NA	Instant	10m	Whip razor-sharp petals and leaves at a target up to 10 spaces away. Must have LOS of the target. The petals don't need to travel in a straight line, and can hit targets along the way. Divide all 10 damage among all targets.
Leaf Bridge	E	1	2	NA	Instant	15m	Summon forth up to ten large leaves that hover above the ground. Each leaf can hold an enormous amount of weight. Once a being mounts a leaf, they can command it to move as they wish. Each leaf may only hold one being and move up to 8 spaces per round. Beings must roll to mount the leaf and each time movement is changed to remain balanced on the leaf. The leaves may also be summoned to create a small bridge, star or walkway, where the leaves are static, and cannot move. In the ladder case, the leaves are immoble, and does not need to be balanced upon.
Hurtling Boulder	E	1	3	NA	Instant	3m	Throw a rock at your target up to 3 spaces from the caster. Deals 7 points of damage The rock occupies 1x1x1 space
Dispell Magic	E	1	2	NA	Instant	5m	Attempt to remove a magic effect on a target. This does not work on instant spells but rather long term magical effects.
Wall	E	2	3	NA	Instant	10m	This allows the player to choose up to 5 spaces where a dirt/stone wall raises up about 4 meters. The wall lasts 3 rounds of combat before crumbling to ruble.
Bonemeal	E	2	3	NA	1 Turn	Touching	One per combat plant a tree and causes it to rapidly grow. The tree will take up a 3x3 area, and will attack enemies within a 5 space radius. As well as turn a six space radius into rough terrain. When initially growing any being in the 3x3 area gets launched into the air, causing them to take 15 damage from the fall if the fall is not halted.
Earthquake	E	2	4	NA	Instant	10m	Cause all enemies to lose their balance and loose attack, movement, and spell actions. Choose to make all adjacent spaces around targets rough terrain. This may only be used once per combat.
Yodel	E	2	2	NA	Instant	Earshot	Release a powerful shout that deals up to 5 damage to all on the battlefield. All beings may take a bonus action to cover their ears. The more often this is used, the less potent it becomes.
Force Pillar	E	2	3	NA	Instant	15m	Bend the earth to your will. Cause up to 4 spaces into a stone or dirt wall. If a being is adjacent to a pillar they take 4 damage. If they are on the pillar, they are launched into the air and must roll to take damage. Whatever is rolled divided by 2 is the damage taken unless their fall is halted.. The pillars last until dispelled by the caster, or to the end of combat.
Serpent Sting	E	2	3	NA	Instant	Touching	Strike a target with a fist causing a basic attack and poisoning them. If the target is already poisoned double the damage of the basic attack instead. The poison deals 10% damage per round of combat.
Earthen Aid	E	2	2	NA	Instant	Touching	Casting this spell and then basic attacking within the same turn will cause the earth to aid the basic attack mimicking the basic attack. Roll. The number you roll divided by 2 is the number of basic attacks inflicted.
Acidic Saliva	E	2	3	NA	Instant	15m	Spit a splash of poison up to 15 spaces. Hitting a target poisons them causing them 10% damage per round of combat. The initial hit also causes 4 damage.
Cherry Bomb	E	2	2	NA	Instant	10m	Create up to 3 large cherries that can be thrown up to 10 spaces. Wherever they stick their sticky juice makes them impossible to remove. They explode at the end of the turn, each causing 5 damage each. The bombs may be diffused by freezing them
Harsh Winds	E	2	4	NA	Instant	5m	Once per combat, the caster may cause a strong wind to blow across the battlefield in a chosen direction for up to 4 rounds of combat affecting all projectiles, and movement. At the end of each round each being moves 2 spaces in the direction of the wind.
Leaf Storm	E	2	2	NA	Instant	3m	Release a whirlwind of leaves causing all in a 3 space radius to take 4 damage.
Pickle Dance	E	2	2	NA	Instant	NA	Avoid a spell or attack by turning yourself into a pickle. This causes the attacker to miss, they also become poisoned dealing 5% damage per round of combat as some pickle juice splashes onto them. If this spell fails you will be stuck as a pickle until the end of combat, otherwise, return to your normal form at the end of your turn. You may not move, or attack as you are a pickle.
Lotus Seduction	E	2	5	NA	Instant	Touching	Cast during an intimate act with the target. Once cast, the two involved in the spell will be able to communicate telepathically, experience what the other is experiencing, and have access to each other’s spells. This wears off after about 5 days. The amount that is shared is fully controlled by the caster.
Ragnarok	E	3	10	NA	1 Turn	5m	Summon a wolf and a large serpent to your side. The serpent will do your bidding as you command it to. The wolf will attempt to eliminate all life on the battlefield. The wolf is immune to attempts of control. The serpent grows larger after being hit with any spell. The serpent and wolf dissipate back into the ground when the serpent is killed, or it bites its own tail. If no living thing is on the battlefield the wolf and serpent attack each other.
Course of Medusa	E	3	8	NA	Instant	NA	Transform yourself into a medusa. You are immune to any earth or fire magic. Any being you look at for the next round of combat will become charmed to you, if they attempt to fight it they must death roll. If the roll fails, they turn to stone. This can be also cast onto a target who you are touching turning them into the medusa
The Forbidden Spell	E	3	1	NA	Instant	5m	An extremely simple spell. This creates a heavy rock orb to appear around the head of the target. Forcing their head to the ground. The orb may not easily be crushed, dispelled or destroyed. The caster can't cast spells or be targeted by other spells. The target is left there until they run out of the air in the orb. This is an extremely cruel way to die. The orb is tight and painful around the neck, enough so that they are unable to sleep or pass out from lack of air. Because this is so cruel, it is often seen as forbidden magic even though it is a relatively easy spell. This takes basic level knowledge to cast but is often reserved for high learners who teach it to themselves. Once cast it may not be undone.
Fireball	F	1	1	NA	Instant	10m	their hand. They may then throw it at a target dealing 3 damage. If a high roll, the target is engulfed in flames dealing 5 damage per round they are alight.
Spell of Trimming	F	1	1	1 per turn	Instant	Touching	This spell is very similar to fireball but is sustained on your hand. This is used usually to “trim beards and the top of heads”. This lasts for about a minute.
Bolster Spirits	F	1	1	1 per turn	Instant	Battlefield	You pump fire into your allies’ blood. You may target up to 2 individuals, who are buffed until the end of combat. All targets receive +5 stamina and deal double damage with every basic attack until the end of the round. This may only be cast once per combat.
Flaming Steps	F	1	2	NA	Instant	NA	For the next three rounds wherever the caster moves become engulfed in flames, turning it into dangerous terrain. Each square that the caster moves into, through, out of all come alight at the end of the player’s turn. The caster is unaffected by the flames. The flaming spaces last until the end of combat or until put out.
Drain Magic	F	1	1	NA	Instant	Touching	Drains 5 stamina of your target into a golden nugget or into yourself.
Flaming kick	F	1	2	NA	Instant	Touching	Deal a kick to your target dealing 5 damage. The target must be in an adjacent space. If a high roll, the target is engulfed in flames, dealing 5 damage per round that they are alight.
